,plate,mjd,fiberid,class,subclass,z,h_alpha_flux,h_beta_flux,oiii_5007_flux,nii_6584_flux,oi_6300_flux,sii_6717_flux,sii_6731_flux,h_alpha_eqw,nii_6584_eqw
19081,858,52316,474,b'GALAXY',b'AGN BROADLINE',0.1228051,44.87278,17.1771,66.40069,116.3447,16.06267,24.93577,19.04846,-2.785236,-5.751166
19082,860,52319,111,b'GALAXY',b'STARFORMING',0.08026776,224.6438,55.75223,37.45053,98.95467,7.498346,52.46316,44.05225,-22.60874,-10.13195
19083,860,52319,243,b'GALAXY',b'STARFORMING',0.1399307,241.0925,48.26234,16.93433,82.51871,9.567897,42.2363,30.71905,-27.47275,-9.830321
19084,862,52325,74,b'GALAXY',b'STARBURST',0.07450521,383.4578,84.81929,21.74062,140.4741,11.65148,74.80369,50.61828,-39.78306,-14.6709
19085,862,52325,243,b'GALAXY',b'STARFORMING',0.1189379,247.3141,54.63824,49.40283,111.9771,11.4301,37.43718,29.30343,-20.19073,-9.2995
19086,864,52320,578,b'GALAXY',b'STARBURST',0.1800426,475.0734,111.0305,42.4973,196.8211,12.11049,69.84956,53.69552,-41.77678,-17.1931
19087,887,52376,373,b'GALAXY',b'STARFORMING',0.02860959,586.8768,189.7356,392.9997,69.53562,17.59323,99.53907,69.06351,-42.32935,-4.968535
19088,889,52663,38,b'GALAXY',b'STARFORMING',0.0613644,713.6611,155.8937,34.84735,284.6113,14.42373,112.392,86.23045,-36.63463,-14.73399
19089,891,52584,133,b'GALAXY',b'STARFORMING',0.01972142,2567.318,338.0429,129.6669,1520.394,68.14792,312.5322,305.2185,-36.37941,-21.22972
19090,891,52584,583,b'GALAXY',b'STARFORMING',0.02346147,167.1212,52.58924,63.0544,26.43574,7.891038,41.13537,32.22193,-21.74625,-3.657988
19091,891,52584,632,b'GALAXY',b'STARFORMING',0.02177659,455.3613,101.5604,45.04956,334.2733,21.44189,94.87775,73.17252,-8.819302,-6.444993
19092,892,52378,189,b'GALAXY',b'STARFORMING',0.09225465,359.3816,70.25128,50.03596,189.4553,30.91136,99.31718,71.09806,-13.86187,-7.161431
19093,893,52589,123,b'GALAXY',b'STARFORMING',0.1049899,192.0166,48.3267,17.61911,76.93623,8.859802,33.01451,23.78491,-28.32335,-12.17037
19094,893,52589,381,b'GALAXY',b'STARBURST',0.04043006,663.8408,158.8687,136.5993,177.9511,22.29485,117.8518,79.65781,-45.903,-12.12481
19095,894,52615,127,b'GALAXY',b'STARBURST',0.02965179,695.1761,205.4085,330.1326,100.2617,22.60238,128.1216,82.91464,-43.28046,-6.290843
